Positive,Neutral,Negative,Compound,numQuest,numChars,numPers
0,0.639,0.361,-0.5256,0,61,13
0,0.645,0.355,-0.296,0,51,3
0,0.652,0.348,-0.2808,0,37,0
0,0.871,0.129,-0.4767,0,132,9
0,0.61,0.39,-0.6679,0,53,0
0,0.58,0.42,-0.4404,1,42,0
0,1,0,0,0,41,0
0.295,0.526,0.179,0.2732,0,61,0
0,0.814,0.186,-0.1531,0,53,1
0.178,0.822,0,0.0772,0,46,4
0,1,0,0,0,35,2
0.177,0.61,0.213,-0.1511,0,61,0
0,0.625,0.375,-0.4588,0,36,0
0,1,0,0,0,43,0
0.667,0.333,0,0.7184,0,25,1
0,1,0,0,0,52,3
0.161,0.667,0.172,-0.0498,0,101,7
0.385,0.495,0.121,0.5859,0,82,1
0.412,0.588,0,0.6371,0,48,3
0.253,0.676,0.071,0.6597,0,136,4
0,0.469,0.531,-0.5256,0,24,1
0,1,0,0,0,17,0
0.247,0.678,0.075,0.7269,0,120,0
0,0.909,0.091,-0.3182,0,137,2
0.138,0.862,0,0.5216,0,134,3
0.127,0.277,0.596,-0.8156,2,70,8
0.09,0.73,0.181,-0.2491,0,106,3
0.13,0.771,0.099,-0.0653,0,125,2
0,1,0,0,0,40,0
0,0.788,0.212,-0.4003,0,73,1
0,0.764,0.236,-0.5719,0,72,1
0.121,0.726,0.153,0.057,0,129,0
0,1,0,0,0,40,1
0,1,0,0,0,43,1
0,0.732,0.268,-0.296,0,43,3
0.106,0.626,0.268,-0.6321,0,121,0
0.484,0.516,0,0.6842,0,59,0
0.455,0.545,0,0.3612,0,26,0
0,1,0,0,0,36,0
0,0.586,0.414,-0.872,1,99,0
0,1,0,0,0,38,3
0.204,0.796,0,0.6562,0,129,5
0,1,0,0,0,15,0
0.145,0.855,0,0.4667,2,109,6
0,1,0,0,0,33,3
0,1,0,0,0,38,0
0,0.781,0.219,-0.5209,0,85,0
0.155,0.71,0.135,0.0772,0,64,1
0.137,0.732,0.132,0.0258,1,137,2
0.184,0.816,0,0.3093,0,60,5
0,1,0,0,0,21,1
0.285,0.715,0,0.4927,0,61,11
0,1,0,0,0,15,0
0.675,0.325,0,0.631,0,16,1
0.531,0.469,0,0.5267,0,26,0
0,1,0,0,0,119,2
0.399,0.383,0.219,0.5106,0,72,1
0.307,0.693,0,0.4767,0,53,2
0.419,0.581,0,0.5574,0,38,0
0.444,0.556,0,0.4939,0,29,3
0,0.619,0.381,-0.5719,0,41,8
0.245,0.755,0,0.0772,0,28,0
0,1,0,0,0,20,0
0,0.834,0.166,-0.2924,0,73,1
0,0.633,0.367,-0.7003,1,82,4
0.294,0.49,0.217,0.2732,0,69,2
0,0.385,0.615,-0.1531,0,13,0
0,0.556,0.444,-0.1531,0,19,0
0,0.828,0.172,-0.3595,0,75,0
0,1,0,0,0,22,0
0,1,0,0,0,45,3
0,1,0,0,0,50,9
0,1,0,0,0,58,0
0,1,0,0,1,60,3
0,1,0,0,0,27,0
0.408,0.592,0,0.7096,1,94,1
1,0,0,0.5267,0,14,0
0.245,0.755,0,0.0772,0,32,0
0.254,0.746,0,0.7783,0,132,1
0,1,0,0,0,33,0
0.225,0.775,0,0.4939,0,80,0
0.283,0.583,0.133,0.5574,0,110,0
0.221,0.779,0,0.5688,0,75,0
0.109,0.693,0.198,-0.1779,0,134,0
0.176,0.824,0,0.4939,0,102,4
0,1,0,0,0,32,3
0,0.476,0.524,-0.5106,0,24,0
0,1,0,0,0,63,4
0,1,0,0,0,133,5
0,1,0,0,0,20,1
0,1,0,0,0,30,3
0.126,0.66,0.214,-0.4492,0,146,5
0,0.884,0.116,-0.2411,0,86,7
0.317,0.683,0,0.8695,0,116,1
0,0.564,0.436,-0.4753,0,56,3
0,0.811,0.189,-0.3753,0,62,0
0,1,0,0,0,84,9
0,1,0,0,0,72,5
0.221,0.611,0.168,0.1779,0,55,7
0,0.888,0.112,-0.4184,0,136,1
0,0.645,0.355,-0.296,0,37,0
0,0.505,0.495,-0.2411,0,19,1
0.583,0.417,0,0.4199,0,15,0
1,0,0,0.4404,0,9,0
0,0.694,0.306,-0.5267,0,59,0
0.35,0.5,0.15,0.5574,0,67,3
0,1,0,0,0,21,1
0.308,0.581,0.112,0.6924,0,89,1
0.223,0.637,0.14,0.3164,0,89,1
0,1,0,0,0,37,0
0,0.902,0.098,-0.0772,0,76,0
0.166,0.834,0,0.4926,0,106,1
0.528,0.472,0,0.6808,0,40,1
0,1,0,0,0,22,1
0.355,0.645,0,0.722,0,83,2
0.057,0.839,0.104,-0.34,0,134,5
0.283,0.717,0,0.6949,0,69,0
0.244,0.756,0,0.7003,0,136,3
0,1,0,0,0,17,0
0,1,0,0,0,15,0
0,1,0,0,0,93,4
0.077,0.815,0.107,-0.1779,0,111,4
0.241,0.713,0.045,0.793,0,138,1
0,1,0,0,0,35,0
0,1,0,0,1,111,1
0,0.852,0.148,-0.4184,1,116,2
0,0.732,0.268,-0.296,1,90,3
0,1,0,0,0,21,0
0.07,0.762,0.168,-0.4728,0,136,5
0.087,0.913,0,0.2023,0,138,4
0,1,0,0,0,51,3
0,0.247,0.753,-0.7269,0,31,0
0,1,0,0,0,57,2
0,1,0,0,0,45,4
0.196,0.339,0.465,-0.6077,0,58,3
0.175,0.493,0.332,-0.4331,0,76,0
0,1,0,0,0,10,0
0,1,0,0,0,51,2
0,1,0,0,0,23,0
0,1,0,0,0,23,0
0,1,0,0,0,129,1
0,0.617,0.383,-0.7351,0,75,2
0,1,0,0,1,137,3
0,1,0,0,0,83,4
0.108,0.579,0.314,-0.5413,0,51,0
0.086,0.914,0,0.1779,0,148,4
0.139,0.727,0.133,0.0258,1,123,1
0.059,0.941,0,0.1593,0,147,4
0.232,0.606,0.162,0.1779,0,55,0
0,0.848,0.152,-0.5267,0,131,5
0,1,0,0,0,45,1
0,1,0,0,1,112,1
0,1,0,0,0,16,0
